"Year","Quarter","Location Description","Data Source","Topic Description","Measure Description","Provision Group Description","Provision","Value","Citation","Enacted Date","Effective Date","Comments"
"2015","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2006","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2006","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2006","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2006","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2006","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2006","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2006","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2006","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2005","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2005","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2004","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2004","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2003","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2003","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2002","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2002","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2001","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2001","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2000","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2000","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"1999","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"1999","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"1998","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"1998","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"1997","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"1997","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"1996","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"1996","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"1995","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"1995","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2019","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2019","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2019","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2015","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2014","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2014","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2013","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2013","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2012","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2012","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2011","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2011","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2010","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2010","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2009","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2009","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2008","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2008","1","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","4","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2007","3","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2007","2","Alabama","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
